"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 08월 28일","1,980.03","1,993.40","1,993.87","1,975.59","29.63M","-0.02%"
"2018년 08월 27일","1,980.44","1,975.46","1,983.95","1,969.85","26.56M","0.55%"
"2018년 08월 24일","1,969.61","1,953.82","1,971.77","1,949.85","27.09M","0.39%"
"2018년 08월 23일","1,961.92","1,960.78","1,962.47","1,948.20","26.47M","0.43%"
"2018년 08월 22일","1,953.61","1,945.83","1,958.25","1,942.97","36.98M","0.60%"
"2018년 08월 21일","1,941.97","1,917.32","1,945.47","1,913.88","34.31M","1.21%"
"2018년 08월 20일","1,918.66","1,926.21","1,934.12","1,914.94","26.36M","-0.06%"
"2018년 08월 17일","1,919.72","1,920.33","1,925.27","1,915.19","24.74M","0.04%"
"2018년 08월 16일","1,918.93","1,908.07","1,925.05","1,899.98","38.35M","-1.06%"
"2018년 08월 14일","1,939.58","1,933.33","1,943.95","1,930.62","29.96M","0.33%"
"2018년 08월 13일","1,933.18","1,938.25","1,944.23","1,920.07","34.15M","-1.15%"
"2018년 08월 10일","1,955.69","1,974.00","1,975.93","1,951.81","44.17M","-1.61%"
"2018년 08월 09일","1,987.67","1,985.37","1,987.67","1,974.29","42.68M","0.08%"
"2018년 08월 08일","1,985.99","1,989.86","1,994.08","1,982.72","36.90M","0.16%"
"2018년 08월 07일","1,982.89","1,970.53","1,984.46","1,963.02","35.42M","0.86%"
"2018년 08월 06일","1,966.06","1,969.64","1,979.73","1,963.84","31.43M","-0.07%"
"2018년 08월 03일","1,967.42","1,962.24","1,968.98","1,956.00","25.93M","0.54%"
"2018년 08월 02일","1,956.86","1,990.39","1,991.21","1,952.90","30.14M","-1.82%"
"2018년 08월 01일","1,993.23","1,992.12","2,002.53","1,988.89","27.37M","0.35%"
"2018년 07월 31일","1,986.26","1,983.79","1,988.83","1,978.22","28.41M","-0.03%"
"2018년 07월 30일","1,986.95","1,985.11","1,990.56","1,977.92","22.80M","-0.24%"
"2018년 07월 27일","1,991.65","1,986.15","1,991.87","1,979.82","27.39M","0.28%"
"2018년 07월 26일","1,986.04","1,977.95","1,993.58","1,969.69","37.08M","0.79%"
"2018년 07월 25일","1,970.49","1,979.25","1,987.67","1,966.52","36.30M","-0.31%"
"2018년 07월 24일","1,976.53","1,977.87","1,981.58","1,965.25","33.51M","-0.02%"
"2018년 07월 23일","1,976.99","1,993.65","1,993.65","1,971.42","40.80M","-0.98%"
"2018년 07월 20일","1,996.55","1,988.43","2,000.72","1,976.04","34.74M","0.38%"
"2018년 07월 19일","1,989.01","1,996.83","2,000.60","1,986.70","35.71M","0.05%"
"2018년 07월 18일","1,988.02","2,001.84","2,011.74","1,985.08","34.96M","0.17%"
"2018년 07월 17일","1,984.68","1,986.57","1,993.69","1,975.59","37.35M","-0.08%"
"2018년 07월 16일","1,986.32","1,992.70","2,000.47","1,984.83","26.81M","-0.29%"
"2018년 07월 13일","1,992.01","1,972.07","1,994.87","1,972.07","37.50M","1.49%"
"2018년 07월 12일","1,962.68","1,964.72","1,977.61","1,957.27","39.86M","-0.02%"
"2018년 07월 11일","1,963.11","1,958.80","1,968.21","1,945.51","42.14M","-0.58%"
"2018년 07월 10일","1,974.54","1,980.62","1,986.71","1,971.65","32.75M","0.37%"
"2018년 07월 09일","1,967.22","1,953.75","1,976.60","1,947.53","34.11M","1.09%"
"2018년 07월 06일","1,945.95","1,946.77","1,957.74","1,929.78","46.51M","0.05%"
"2018년 07월 05일","1,944.92","1,945.85","1,956.36","1,933.59","25.26M","-0.12%"
"2018년 07월 04일","1,947.28","1,959.42","1,966.01","1,945.91","27.88M","-0.37%"
"2018년 07월 03일","1,954.57","1,962.35","1,963.82","1,940.43","33.20M","0.27%"
"2018년 07월 02일","1,949.37","1,987.80","1,995.40","1,949.37","37.01M","-2.04%"
"2018년 06월 29일","1,990.06","1,985.94","1,996.27","1,968.06","40.92M","0.45%"
"2018년 06월 28일","1,981.07","1,993.33","1,998.46","1,977.10","38.30M","-1.63%"
"2018년 06월 27일","2,013.86","2,012.87","2,027.29","2,006.85","41.96M","0.13%"
"2018년 06월 26일","2,011.24","1,989.18","2,018.02","1,987.69","37.81M","0.04%"
"2018년 06월 25일","2,010.38","2,011.70","2,015.56","1,995.92","33.05M","-0.40%"
"2018년 06월 22일","2,018.40","1,983.36","2,018.62","1,982.72","36.63M","0.95%"
"2018년 06월 21일","1,999.42","2,020.67","2,025.40","1,999.42","38.88M","-0.93%"
"2018년 06월 20일","2,018.10","2,014.85","2,030.41","2,006.87","44.16M","0.79%"
"2018년 06월 19일","2,002.38","2,022.13","2,026.90","1,997.47","44.92M","-1.05%"
"2018년 06월 18일","2,023.67","2,042.66","2,043.58","2,012.87","47.00M","-0.97%"
"2018년 06월 15일","2,043.57","2,068.90","2,069.60","2,043.57","51.31M","-0.83%"
"2018년 06월 14일","2,060.63","2,083.48","2,083.95","2,059.70","55.97M","-1.70%"
"2018년 06월 12일","2,096.31","2,102.44","2,105.39","2,092.03","36.82M","-0.12%"
"2018년 06월 11일","2,098.90","2,088.34","2,100.38","2,078.33","33.25M","0.55%"
"2018년 06월 08일","2,087.48","2,098.26","2,102.42","2,084.07","45.34M","-0.88%"
"2018년 06월 07일","2,105.95","2,111.28","2,118.22","2,100.86","42.85M","0.54%"
"2018년 06월 05일","2,094.67","2,090.64","2,096.55","2,075.61","31.73M","0.30%"
"2018년 06월 04일","2,088.32","2,077.62","2,091.55","2,073.82","36.66M","0.53%"
"2018년 06월 01일","2,077.37","2,051.63","2,083.16","2,050.42","38.89M","0.85%"
"2018년 05월 31일","2,059.88","2,069.11","2,070.43","2,052.29","108.24M","0.50%"
"2018년 05월 30일","2,049.53","2,087.61","2,091.04","2,041.61","53.44M","-2.36%"
"2018년 05월 29일","2,099.00","2,115.60","2,122.63","2,098.52","31.88M","-0.88%"
"2018년 05월 28일","2,117.62","2,123.72","2,129.82","2,115.44","37.05M","-0.36%"
"2018년 05월 25일","2,125.35","2,101.38","2,130.20","2,100.71","40.56M","0.70%"
"2018년 05월 24일","2,110.60","2,120.32","2,123.63","2,103.86","30.64M","-0.34%"
"2018년 05월 23일","2,117.76","2,102.49","2,122.96","2,099.16","50.30M","1.08%"
"2018년 05월 21일","2,095.17","2,088.30","2,102.01","2,074.28","27.21M","0.45%"
"2018년 05월 18일","2,085.82","2,090.82","2,092.78","2,081.79","26.46M","0.17%"
"2018년 05월 17일","2,082.27","2,104.17","2,104.96","2,082.27","30.91M","-0.49%"
"2018년 05월 16일","2,092.59","2,075.27","2,097.26","2,075.25","40.02M","0.69%"
"2018년 05월 15일","2,078.20","2,098.92","2,103.03","2,075.73","41.07M","-0.96%"
"2018년 05월 14일","2,098.25","2,114.01","2,116.53","2,093.44","37.47M","-0.73%"
"2018년 05월 11일","2,113.69","2,115.87","2,127.32","2,111.62","31.73M","0.13%"
"2018년 05월 10일","2,111.01","2,109.08","2,114.63","2,096.83","44.32M","0.80%"
"2018년 05월 09일","2,094.23","2,108.23","2,109.74","2,083.87","44.07M","-0.67%"
"2018년 05월 08일","2,108.31","2,118.16","2,132.43","2,101.16","52.46M","-0.14%"
"2018년 05월 04일","2,111.17","2,146.42","2,148.28","2,111.17","68.62M","-1.56%"
"2018년 05월 03일","2,144.70","2,157.41","2,158.48","2,144.70","25.05M","-0.41%"
"2018년 05월 02일","2,153.48","2,164.69","2,165.23","2,150.46","35.29M","-0.57%"
"2018년 04월 30일","2,165.77","2,158.64","2,165.90","2,156.38","28.97M","0.57%"
"2018년 04월 27일","2,153.52","2,156.77","2,166.40","2,143.87","30.55M","1.03%"
"2018년 04월 26일","2,131.57","2,112.81","2,137.60","2,108.70","33.29M","1.45%"
"2018년 04월 25일","2,101.08","2,090.64","2,101.41","2,084.96","26.09M","-0.46%"
"2018년 04월 24일","2,110.83","2,130.97","2,131.24","2,101.96","30.59M","-0.89%"
"2018년 04월 23일","2,129.83","2,122.58","2,131.41","2,117.61","34.30M","-0.01%"
"2018년 04월 20일","2,129.98","2,137.80","2,142.96","2,125.58","29.62M","-0.93%"
"2018년 04월 19일","2,149.91","2,143.43","2,153.70","2,137.03","30.91M","0.54%"
"2018년 04월 18일","2,138.31","2,124.31","2,142.12","2,124.15","24.73M","1.37%"
"2018년 04월 17일","2,109.34","2,115.19","2,122.77","2,105.26","24.12M","-0.21%"
"2018년 04월 16일","2,113.74","2,123.16","2,123.16","2,106.73","20.01M","0.08%"
"2018년 04월 13일","2,111.99","2,109.52","2,120.19","2,107.29","26.76M","0.59%"
"2018년 04월 12일","2,099.57","2,103.46","2,109.87","2,097.07","30.16M","0.13%"
"2018년 04월 11일","2,096.81","2,114.02","2,117.15","2,093.30","29.78M","-0.42%"
"2018년 04월 10일","2,105.57","2,097.10","2,112.64","2,075.89","28.79M","0.09%"
"2018년 04월 09일","2,103.67","2,085.70","2,107.34","2,085.70","23.97M","0.61%"
"2018년 04월 06일","2,090.86","2,082.30","2,096.67","2,077.14","24.86M","-0.53%"
"2018년 04월 05일","2,101.93","2,085.46","2,113.45","2,078.99","24.39M","1.62%"
"2018년 04월 04일","2,068.43","2,108.24","2,108.24","2,067.16","33.66M","-1.56%"
"2018년 04월 03일","2,101.25","2,088.78","2,101.25","2,078.71","36.80M","-0.39%"
"2018년 04월 02일","2,109.38","2,120.68","2,129.29","2,107.67","24.72M","-0.23%"
"2018년 03월 30일","2,114.30","2,127.81","2,133.48","2,114.15","27.58M","0.10%"
"2018년 03월 29일","2,112.18","2,098.28","2,117.26","2,089.91","30.72M","0.71%"
"2018년 03월 28일","2,097.36","2,102.65","2,105.65","2,085.72","31.49M","-1.56%"
"2018년 03월 27일","2,130.63","2,139.23","2,140.72","2,122.15","30.47M","0.31%"
"2018년 03월 26일","2,124.00","2,103.72","2,124.00","2,091.54","27.91M","0.69%"
"2018년 03월 23일","2,109.38","2,137.54","2,141.14","2,104.70","34.81M","-3.39%"
"2018년 03월 22일","2,183.33","2,181.87","2,189.80","2,171.94","26.24M","0.50%"
"2018년 03월 21일","2,172.38","2,178.88","2,182.02","2,172.11","22.67M","-0.12%"
"2018년 03월 20일","2,175.00","2,145.03","2,175.00","2,144.63","21.13M","0.54%"
"2018년 03월 19일","2,163.38","2,179.15","2,181.85","2,158.47","22.87M","-0.86%"
"2018년 03월 16일","2,182.16","2,181.98","2,185.33","2,163.53","30.28M","0.02%"
"2018년 03월 15일","2,181.63","2,179.16","2,187.56","2,162.07","24.86M","0.17%"
"2018년 03월 14일","2,178.01","2,167.52","2,181.29","2,164.96","26.85M","-0.23%"
"2018년 03월 13일","2,182.93","2,163.87","2,182.93","2,159.33","33.90M","1.17%"
"2018년 03월 12일","2,157.74","2,165.54","2,167.60","2,153.54","27.30M","0.85%"
"2018년 03월 09일","2,139.45","2,135.14","2,160.44","2,126.96","35.46M","0.59%"
"2018년 03월 08일","2,127.00","2,120.87","2,127.00","2,099.07","33.48M","1.14%"
"2018년 03월 07일","2,103.07","2,100.56","2,120.64","2,084.70","31.25M","0.58%"
"2018년 03월 06일","2,090.92","2,073.10","2,092.38","2,065.37","29.68M","2.09%"
"2018년 03월 05일","2,048.18","2,073.29","2,076.51","2,046.88","19.64M","-1.16%"
"2018년 03월 02일","2,072.13","2,084.97","2,086.79","2,062.76","24.48M","-1.37%"
"2018년 02월 28일","2,100.84","2,121.19","2,133.19","2,100.48","34.07M","-1.17%"
"2018년 02월 27일","2,125.80","2,143.68","2,151.41","2,125.80","24.01M","-0.10%"
"2018년 02월 26일","2,127.97","2,135.26","2,135.70","2,120.10","23.28M","0.17%"
"2018년 02월 23일","2,124.29","2,105.28","2,124.61","2,105.28","20.72M","1.45%"
"2018년 02월 22일","2,093.83","2,097.55","2,102.81","2,087.25","17.98M","-0.69%"
"2018년 02월 21일","2,108.48","2,100.33","2,112.15","2,084.68","22.01M","0.48%"
"2018년 02월 20일","2,098.33","2,113.90","2,116.50","2,093.52","15.50M","-1.21%"
"2018년 02월 19일","2,124.12","2,143.90","2,146.16","2,109.84","20.98M","0.39%"
"2018년 02월 14일","2,115.88","2,106.15","2,123.78","2,103.75","23.58M","1.32%"
"2018년 02월 13일","2,088.32","2,076.17","2,108.91","2,072.03","33.61M","1.44%"
"2018년 02월 12일","2,058.69","2,044.94","2,069.07","2,036.63","25.32M","1.44%"
"2018년 02월 09일","2,029.39","2,026.14","2,043.59","2,022.10","34.20M","-2.43%"
"2018년 02월 08일","2,079.87","2,075.85","2,098.57","2,072.02","33.27M","0.37%"
"2018년 02월 07일","2,072.21","2,149.64","2,149.74","2,072.06","34.87M","-2.32%"
"2018년 02월 06일","2,121.39","2,115.15","2,131.57","2,089.79","38.89M","-1.70%"
"2018년 02월 05일","2,158.02","2,141.39","2,165.25","2,131.58","32.61M","-0.77%"
"2018년 02월 02일","2,174.74","2,214.62","2,214.62","2,170.97","31.07M","-2.08%"
"2018년 02월 01일","2,220.91","2,234.33","2,238.01","2,219.80","25.98M","-0.02%"
"2018년 01월 31일","2,221.44","2,213.92","2,262.55","2,208.62","37.61M","0.13%"
"2018년 01월 30일","2,218.56","2,241.00","2,247.76","2,218.52","30.24M","-1.59%"
"2018년 01월 29일","2,254.32","2,252.67","2,262.36","2,247.60","27.73M","0.69%"
"2018년 01월 26일","2,238.96","2,229.49","2,238.96","2,218.06","29.66M","0.33%"
"2018년 01월 25일","2,231.49","2,208.44","2,233.97","2,207.97","31.62M","0.97%"
"2018년 01월 24일","2,209.99","2,205.65","2,220.36","2,201.32","28.65M","-0.00%"
"2018년 01월 23일","2,210.05","2,189.89","2,210.05","2,187.88","35.40M","1.31%"
"2018년 01월 22일","2,181.37","2,201.37","2,201.37","2,171.69","27.62M","-1.22%"
"2018년 01월 19일","2,208.32","2,214.56","2,218.71","2,199.80","26.05M","-0.01%"
"2018년 01월 18일","2,208.56","2,221.10","2,228.00","2,206.28","30.59M","0.06%"
"2018년 01월 17일","2,207.19","2,206.56","2,213.87","2,197.72","30.49M","-0.16%"
"2018년 01월 16일","2,210.63","2,188.60","2,213.96","2,184.18","31.23M","1.07%"
"2018년 01월 15일","2,187.23","2,195.53","2,199.26","2,178.32","23.47M","0.17%"
"2018년 01월 12일","2,183.41","2,189.51","2,190.22","2,161.21","31.04M","0.23%"
"2018년 01월 11일","2,178.50","2,184.42","2,195.57","2,174.60","27.95M","-0.61%"
"2018년 01월 10일","2,191.80","2,224.35","2,225.22","2,189.39","34.99M","-1.30%"
"2018년 01월 09일","2,220.78","2,228.76","2,241.05","2,208.49","29.31M","-0.60%"
"2018년 01월 08일","2,234.13","2,230.01","2,235.89","2,213.06","27.37M","0.76%"
"2018년 01월 05일","2,217.34","2,196.17","2,217.45","2,194.16","25.19M","1.43%"
"2018년 01월 04일","2,186.16","2,222.49","2,222.49","2,184.23","30.20M","-0.88%"
"2018년 01월 03일","2,205.53","2,208.17","2,216.12","2,201.47","27.05M","0.43%"
"2018년 01월 02일","2,196.13","2,196.95","2,200.50","2,186.72","20.65M","0.21%"
"2017년 12월 28일","2,191.53","2,164.27","2,191.53","2,162.64","18.71M","1.40%"
"2017년 12월 27일","2,161.20","2,145.42","2,161.20","2,137.35","25.69M","0.65%"
"2017년 12월 26일","2,147.19","2,175.97","2,182.90","2,147.19","31.47M","-1.01%"
"2017년 12월 22일","2,169.19","2,167.02","2,174.43","2,159.87","28.00M","0.48%"
"2017년 12월 21일","2,158.82","2,204.32","2,204.73","2,158.82","24.76M","-2.01%"
"2017년 12월 20일","2,203.16","2,209.41","2,215.21","2,201.08","21.79M","-0.44%"
"2017년 12월 19일","2,212.89","2,216.14","2,228.93","2,207.84","25.62M","0.23%"
"2017년 12월 18일","2,207.92","2,208.45","2,210.87","2,198.69","20.07M","0.31%"
"2017년 12월 15일","2,201.10","2,214.29","2,218.90","2,194.48","28.57M","0.17%"
"2017년 12월 14일","2,197.32","2,209.28","2,239.28","2,197.32","47.30M","-0.25%"
"2017년 12월 13일","2,202.79","2,193.79","2,206.81","2,183.60","23.04M","0.39%"
"2017년 12월 12일","2,194.26","2,200.85","2,201.20","2,188.66","23.07M","-0.24%"
"2017년 12월 11일","2,199.61","2,205.65","2,207.12","2,189.48","19.28M","-0.12%"
"2017년 12월 08일","2,202.23","2,196.54","2,204.91","2,187.96","23.92K","0.72%"
"2017년 12월 07일","2,186.43","2,193.13","2,196.34","2,178.39","27.27K","-0.09%"
"2017년 12월 06일","2,188.37","2,216.99","2,222.11","2,188.27","24.21K","-1.37%"
"2017년 12월 05일","2,218.76","2,201.69","2,223.32","2,198.36","24.77K","-0.00%"
"2017년 12월 04일","2,218.83","2,198.49","2,218.83","2,189.21","23.81K","1.37%"
"2017년 12월 01일","2,188.94","2,203.76","2,205.69","2,188.35","29.02K","-0.18%"
"2017년 11월 30일","2,192.88","2,212.71","2,223.33","2,189.19","48.25K","-1.86%"
"2017년 11월 29일","2,234.52","2,240.53","2,244.56","2,230.15","21.87K","-0.18%"
"2017년 11월 28일","2,238.57","2,232.11","2,240.65","2,218.50","25.64K","0.50%"
"2017년 11월 27일","2,227.33","2,271.89","2,274.63","2,227.27","27.86K","-2.12%"
"2017년 11월 24일","2,275.64","2,270.47","2,275.64","2,264.21","19.24K","0.28%"
"2017년 11월 23일","2,269.39","2,280.02","2,281.33","2,266.34","20.42K","-0.44%"
"2017년 11월 22일","2,279.31","2,281.17","2,289.88","2,274.44","33.96K","0.70%"
"2017년 11월 21일","2,263.38","2,265.21","2,275.54","2,260.20","58.51K","0.20%"
"2017년 11월 20일","2,258.76","2,272.11","2,276.08","2,256.18","22.08K","-0.57%"
"2017년 11월 17일","2,271.60","2,286.46","2,300.23","2,271.60","30.18K","-0.07%"
"2017년 11월 16일","2,273.23","2,261.70","2,277.44","2,256.03","25.40K","0.69%"
"2017년 11월 15일","2,257.73","2,267.58","2,269.94","2,253.24","29.51K","-0.49%"
"2017년 11월 14일","2,268.75","2,277.80","2,279.73","2,266.74","27.08K","-0.31%"
"2017년 11월 13일","2,275.86","2,290.04","2,295.23","2,271.37","27.14K","-0.41%"
"2017년 11월 10일","2,285.15","2,281.84","2,290.17","2,274.11","22.96K","-0.31%"
"2017년 11월 09일","2,292.19","2,302.22","2,302.22","2,275.84","31.48K","-0.26%"
"2017년 11월 08일","2,298.26","2,280.62","2,307.62","2,279.36","26.30K","0.36%"
"2017년 11월 07일","2,290.10","2,296.61","2,303.59","2,286.42","28.92K","-0.38%"
"2017년 11월 06일","2,298.74","2,308.23","2,311.18","2,277.80","25.23K","-0.47%"
"2017년 11월 03일","2,309.48","2,312.78","2,312.78","2,290.43","22.79K","0.21%"
"2017년 11월 02일","2,304.62","2,316.55","2,318.92","2,299.64","26.98K","-0.33%"
"2017년 11월 01일","2,312.32","2,289.24","2,312.32","2,288.85","33.70K","1.81%"
"2017년 10월 31일","2,271.18","2,242.97","2,277.81","2,239.38","36.37K","1.15%"
"2017년 10월 30일","2,245.42","2,251.59","2,251.81","2,239.80","29.76K","0.53%"
"2017년 10월 27일","2,233.64","2,220.88","2,237.12","2,213.09","35.20K","0.74%"
"2017년 10월 26일","2,217.16","2,229.60","2,238.03","2,217.16","34.96K","-0.81%"
"2017년 10월 25일","2,235.36","2,239.41","2,241.31","2,226.05","35.25K","0.10%"
"2017년 10월 24일","2,233.21","2,238.33","2,243.99","2,233.21","27.18K","-0.26%"
"2017년 10월 23일","2,238.93","2,243.19","2,245.24","2,231.79","29.75K","0.31%"
"2017년 10월 20일","2,231.97","2,218.33","2,231.98","2,217.94","41.34K","0.84%"
"2017년 10월 19일","2,213.31","2,231.21","2,236.35","2,212.02","41.29K","-0.81%"
"2017년 10월 18일","2,231.45","2,228.61","2,239.55","2,221.53","29.94K","-0.02%"
"2017년 10월 17일","2,231.96","2,233.32","2,238.82","2,227.99","26.97K","0.25%"
"2017년 10월 16일","2,226.48","2,234.08","2,242.93","2,221.34","31.41K","0.01%"
"2017년 10월 13일","2,226.34","2,230.26","2,236.30","2,220.55","36.30K","-0.31%"
"2017년 10월 12일","2,233.32","2,227.27","2,233.32","2,217.30","38.37K","0.42%"
"2017년 10월 11일","2,224.03","2,205.65","2,224.09","2,200.35","37.38K","1.44%"
"2017년 10월 10일","2,192.37","2,184.25","2,204.26","2,179.20","47.17K","2.27%"
"2017년 09월 29일","2,143.75","2,134.02","2,146.80","2,132.34","24.43K","0.71%"
"2017년 09월 28일","2,128.63","2,135.39","2,141.38","2,123.08","25.42K","0.02%"
"2017년 09월 27일","2,128.22","2,134.49","2,134.88","2,124.52","26.26K","-0.12%"
"2017년 09월 26일","2,130.68","2,144.53","2,144.75","2,127.34","36.85K","-1.19%"
"2017년 09월 25일","2,156.40","2,152.49","2,156.70","2,146.93","25.73K","0.30%"
"2017년 09월 22일","2,149.98","2,153.92","2,164.01","2,139.34","32.45K","-0.20%"
"2017년 09월 21일","2,154.28","2,150.70","2,159.01","2,146.99","31.85K","0.19%"
"2017년 09월 20일","2,150.22","2,151.06","2,159.85","2,138.76","32.36K","0.12%"
"2017년 09월 19일","2,147.68","2,153.56","2,156.52","2,144.33","33.44K","-0.23%"
"2017년 09월 18일","2,152.65","2,114.98","2,152.65","2,113.89","26.71K","2.01%"
"2017년 09월 15일","2,110.27","2,095.02","2,110.62","2,092.86","33.32K","0.25%"
"2017년 09월 14일","2,105.00","2,092.30","2,105.01","2,085.77","34.94K","0.93%"
"2017년 09월 13일","2,085.64","2,091.60","2,102.97","2,082.16","32.41K","-0.00%"
"2017년 09월 12일","2,085.74","2,097.00","2,097.48","2,080.10","22.27K","0.10%"
"2017년 09월 11일","2,083.56","2,076.86","2,092.38","2,076.15","24.58K","0.86%"
"2017년 09월 08일","2,065.89","2,066.00","2,069.07","2,058.71","25.73K","0.30%"
"2017년 09월 07일","2,059.68","2,040.69","2,063.36","2,040.67","29.16K","1.35%"
"2017년 09월 06일","2,032.19","2,031.72","2,034.34","2,025.07","37.36K","-0.14%"
"2017년 09월 05일","2,035.01","2,041.99","2,041.99","2,027.43","36.31K","0.11%"
"2017년 09월 04일","2,032.85","2,020.22","2,047.23","2,020.22","24.43K","-1.14%"
"2017년 09월 01일","2,056.31","2,061.37","2,065.14","2,047.81","22.91K","-0.07%"
"2017년 08월 31일","2,057.70","2,067.60","2,071.40","2,048.84","36.46K","-0.43%"
"2017년 08월 30일","2,066.51","2,061.29","2,066.51","2,057.61","24.93K","0.42%"
"2017년 08월 29일","2,057.94","2,048.70","2,057.94","2,028.18","22.87K","-0.30%"
"2017년 08월 28일","2,064.23","2,075.09","2,082.19","2,059.12","19.77K","-0.76%"
"2017년 08월 25일","2,079.98","2,084.84","2,089.03","2,072.88","22.74K","0.09%"
"2017년 08월 24일","2,078.19","2,073.61","2,084.00","2,070.16","22.65K","0.37%"
"2017년 08월 23일","2,070.61","2,079.32","2,082.95","2,063.67","19.86K","0.20%"
"2017년 08월 22일","2,066.53","2,059.94","2,069.48","2,058.90","18.82K","0.40%"
"2017년 08월 21일","2,058.30","2,062.88","2,062.88","2,052.23","19.69K","0.06%"
"2017년 08월 18일","2,057.05","2,040.09","2,061.77","2,039.43","21.53K","-0.22%"
"2017년 08월 17일","2,061.50","2,054.49","2,065.14","2,050.17","58.40K","0.71%"
"2017년 08월 16일","2,046.88","2,053.67","2,056.23","2,042.92","35.29K","0.95%"
"2017년 08월 14일","2,027.66","2,025.77","2,030.88","2,018.26","25.62K","0.91%"
"2017년 08월 11일","2,009.46","2,017.14","2,027.49","2,001.17","37.48K","-2.01%"
"2017년 08월 10일","2,050.76","2,049.86","2,059.50","2,035.67","40.25K","-0.42%"
"2017년 08월 09일","2,059.41","2,074.60","2,080.71","2,056.87","27.44K","-1.47%"
"2017년 08월 08일","2,090.13","2,101.43","2,106.34","2,081.56","27.31K","-0.18%"
"2017년 08월 07일","2,093.89","2,094.08","2,104.20","2,086.80","23.52K","0.25%"
"2017년 08월 04일","2,088.67","2,086.05","2,094.01","2,079.69","32.14K","0.32%"
"2017년 08월 03일","2,082.00","2,109.99","2,109.99","2,067.36","38.22K","-1.58%"
"2017년 08월 02일","2,115.40","2,122.01","2,123.13","2,111.49","31.34K","0.27%"
"2017년 08월 01일","2,109.80","2,086.35","2,119.76","2,083.28","28.26K","0.70%"
"2017년 07월 31일","2,095.18","2,078.59","2,095.44","2,073.55","30.34K","0.22%"
"2017년 07월 28일","2,090.51","2,125.10","2,125.10","2,086.50","37.77K","-2.09%"
"2017년 07월 27일","2,135.19","2,137.41","2,143.61","2,127.94","32.71K","0.28%"
"2017년 07월 26일","2,129.14","2,140.37","2,140.72","2,124.29","38.84K","-0.42%"
"2017년 07월 25일","2,138.06","2,148.42","2,151.48","2,135.42","32.00K","-0.66%"
"2017년 07월 24일","2,152.26","2,150.03","2,152.26","2,144.35","29.11K","-0.01%"
"2017년 07월 21일","2,152.56","2,141.64","2,153.77","2,139.18","36.35K","0.39%"
"2017년 07월 20일","2,144.20","2,135.96","2,146.41","2,129.96","37.89K","0.62%"
"2017년 07월 19일","2,130.92","2,133.16","2,133.16","2,119.54","27.01K","-0.03%"
"2017년 07월 18일","2,131.64","2,127.95","2,131.74","2,123.43","26.51K","0.11%"
"2017년 07월 17일","2,129.39","2,136.50","2,137.34","2,124.69","26.02K","0.26%"
"2017년 07월 14일","2,123.91","2,126.63","2,131.79","2,121.27","56.60K","0.36%"
"2017년 07월 13일","2,116.20","2,107.49","2,130.92","2,104.56","32.70K","1.01%"
"2017년 07월 12일","2,095.05","2,090.23","2,097.94","2,087.69","28.21K","0.17%"
"2017년 07월 11일","2,091.49","2,078.40","2,091.92","2,073.69","26.42K","0.81%"
"2017년 07월 10일","2,074.72","2,075.02","2,080.65","2,069.97","30.85K","0.33%"
"2017년 07월 07일","2,067.89","2,065.67","2,072.89","2,060.67","39.07K","-0.49%"
"2017년 07월 06일","2,078.15","2,079.24","2,081.05","2,069.45","25.24K","0.14%"
"2017년 07월 05일","2,075.27","2,060.47","2,077.25","2,058.35","25.96K","0.51%"
"2017년 07월 04일","2,064.81","2,076.95","2,078.11","2,061.06","25.36K","-0.60%"
"2017년 07월 03일","2,077.21","2,077.18","2,080.60","2,065.95","23.73K","0.21%"
"2017년 06월 30일","2,072.82","2,066.79","2,072.82","2,062.90","23.42K","-0.33%"
"2017년 06월 29일","2,079.73","2,082.86","2,088.90","2,077.97","28.78K","0.53%"
"2017년 06월 28일","2,068.81","2,066.91","2,076.33","2,065.21","36.14K","-0.43%"
"2017년 06월 27일","2,077.71","2,074.27","2,082.58","2,069.08","28.20K","0.12%"
"2017년 06월 26일","2,075.22","2,061.56","2,077.33","2,060.23","21.50K","0.75%"
"2017년 06월 23일","2,059.76","2,054.31","2,061.65","2,051.16","26.12K","0.13%"
"2017년 06월 22일","2,057.04","2,048.77","2,057.08","2,042.51","30.41K","0.86%"
"2017년 06월 21일","2,039.47","2,041.96","2,044.10","2,032.84","33.38K","-0.73%"
"2017년 06월 20일","2,054.43","2,057.45","2,058.61","2,048.08","42.93K","0.61%"
"2017년 06월 19일","2,042.04","2,028.94","2,044.40","2,023.52","25.52K","0.76%"
"2017년 06월 16일","2,026.61","2,027.63","2,031.08","2,019.48","27.16K","0.05%"
"2017년 06월 15일","2,025.69","2,032.86","2,039.17","2,014.07","28.39K","-0.31%"
"2017년 06월 14일","2,031.92","2,044.03","2,046.58","2,025.15","31.74K","-0.06%"
"2017년 06월 13일","2,033.08","2,023.23","2,035.00","2,023.23","28.18K","0.47%"
"2017년 06월 12일","2,023.51","2,030.63","2,032.95","2,018.21","32.88K","-0.98%"
"2017년 06월 09일","2,043.46","2,027.74","2,048.11","2,026.60","35.05K","1.23%"
"2017년 06월 08일","2,018.58","2,015.81","2,023.30","2,006.65","47.28K","0.13%"
