"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 03월 15일","1,854.58","1,832.30","1,857.75","1,831.63","56.11M","1.14%"
"2019년 03월 14일","1,833.63","1,835.08","1,839.91","1,820.76","48.90M","0.16%"
"2019년 03월 13일","1,830.61","1,838.17","1,839.15","1,816.95","27.44M","-0.78%"
"2019년 03월 12일","1,845.00","1,840.99","1,850.71","1,838.29","30.94M","1.11%"
"2019년 03월 11일","1,824.76","1,830.76","1,836.16","1,819.54","30.50M","0.00%"
"2019년 03월 08일","1,824.68","1,840.34","1,846.23","1,824.64","31.54M","-1.46%"
"2019년 03월 07일","1,851.65","1,850.66","1,866.42","1,842.44","34.61M","-0.20%"
"2019년 03월 06일","1,855.36","1,855.32","1,856.70","1,847.43","35.19M","-0.11%"
"2019년 03월 05일","1,857.36","1,866.16","1,869.63","1,852.36","34.47M","-0.82%"
"2019년 03월 04일","1,872.81","1,901.85","1,904.23","1,870.47","46.36M","-0.60%"
"2019년 02월 28일","1,884.17","1,910.57","1,912.16","1,884.17","62.33M","-1.68%"
"2019년 02월 27일","1,916.39","1,918.04","1,922.93","1,913.24","32.57M","0.27%"
"2019년 02월 26일","1,911.29","1,916.14","1,920.84","1,904.96","31.23M","-0.46%"
"2019년 02월 25일","1,920.08","1,927.74","1,928.63","1,911.25","26.85M","0.01%"
"2019년 02월 22일","1,919.80","1,909.10","1,919.80","1,903.13","27.54M","0.06%"
"2019년 02월 21일","1,918.64","1,908.78","1,924.41","1,901.00","33.64M","0.12%"
"2019년 02월 20일","1,916.40","1,903.85","1,922.27","1,902.48","39.64M","1.30%"
"2019년 02월 19일","1,891.84","1,895.11","1,899.64","1,879.51","23.89M","-0.43%"
"2019년 02월 18일","1,899.99","1,899.52","1,909.28","1,891.25","29.93M","0.62%"
"2019년 02월 17일","1,888.28","1,888.28","1,888.28","1,888.28","-","0.00%"
"2019년 02월 15일","1,888.28","1,907.83","1,907.83","1,879.96","34.84M","-1.86%"
"2019년 02월 14일","1,924.00","1,891.21","1,924.00","1,883.15","49.56M","1.50%"
"2019년 02월 13일","1,895.65","1,897.62","1,901.14","1,890.14","37.94M","0.44%"
"2019년 02월 12일","1,887.42","1,873.72","1,891.73","1,868.12","39.29M","0.70%"
"2019년 02월 11일","1,874.30","1,869.56","1,874.55","1,858.11","36.37M","0.26%"
"2019년 02월 10일","1,869.36","1,869.36","1,869.36","1,869.36","-","0.00%"
"2019년 02월 08일","1,869.36","1,887.48","1,888.50","1,866.30","36.13M","-1.66%"
"2019년 02월 07일","1,900.95","1,914.98","1,916.39","1,898.52","38.81M","-0.11%"
"2019년 02월 06일","1,903.00","1,903.00","1,903.00","1,903.00","-","0.00%"
"2019년 02월 01일","1,903.00","1,911.85","1,922.33","1,900.29","40.39M","0.01%"
"2019년 01월 31일","1,902.81","1,924.09","1,925.93","1,902.81","57.41M","-0.39%"
"2019년 01월 30일","1,910.25","1,881.33","1,910.25","1,876.78","47.07M","1.40%"
"2019년 01월 29일","1,883.79","1,867.70","1,883.79","1,858.95","37.92M","0.65%"
"2019년 01월 28일","1,871.68","1,878.14","1,884.26","1,863.24","41.59M","-0.01%"
"2019년 01월 27일","1,871.84","1,871.84","1,871.84","1,871.84","-","0.00%"
"2019년 01월 25일","1,871.84","1,841.56","1,871.84","1,840.68","50.99M","2.05%"
"2019년 01월 24일","1,834.19","1,815.45","1,834.19","1,813.37","41.45M","1.25%"
"2019년 01월 23일","1,811.48","1,795.90","1,817.22","1,792.83","32.49M","0.28%"
"2019년 01월 22일","1,806.43","1,815.23","1,818.66","1,797.40","31.72M","-0.49%"
"2019년 01월 21일","1,815.26","1,820.23","1,821.83","1,801.03","35.46M","0.09%"
"2019년 01월 20일","1,813.66","1,813.66","1,813.66","1,813.66","-","0.00%"
"2019년 01월 18일","1,813.66","1,808.68","1,815.37","1,806.67","31.82M","0.63%"
"2019년 01월 17일","1,802.28","1,796.47","1,808.82","1,793.92","35.99M","0.44%"
"2019년 01월 16일","1,794.46","1,784.17","1,794.86","1,776.94","28.95M","0.55%"
"2019년 01월 15일","1,784.62","1,752.18","1,784.71","1,749.78","32.85M","2.06%"
"2019년 01월 14일","1,748.57","1,759.75","1,762.83","1,743.13","30.65M","-1.00%"
"2019년 01월 13일","1,766.31","1,766.31","1,766.31","1,766.31","-","0.00%"
"2019년 01월 11일","1,766.31","1,761.74","1,768.84","1,755.43","32.08M","0.67%"
"2019년 01월 10일","1,754.61","1,753.72","1,761.91","1,748.00","45.05M","0.14%"
"2019년 01월 09일","1,752.09","1,718.42","1,754.38","1,717.53","43.19M","2.50%"
"2019년 01월 08일","1,709.31","1,716.59","1,729.81","1,707.42","41.10M","-0.72%"
"2019년 01월 07일","1,721.79","1,717.45","1,730.10","1,715.12","45.41M","1.49%"
"2019년 01월 06일","1,696.43","1,696.43","1,696.43","1,696.43","-","0.00%"
"2019년 01월 04일","1,696.43","1,683.37","1,697.42","1,676.71","42.60M","0.73%"
"2019년 01월 03일","1,684.17","1,699.38","1,704.72","1,681.52","38.47M","-1.00%"
"2019년 01월 02일","1,701.16","1,732.45","1,735.81","1,696.01","29.72M","-1.28%"
"2019년 01월 01일","1,723.22","1,723.22","1,723.22","1,723.22","-","0.00%"
"2018년 12월 28일","1,723.22","1,721.81","1,729.41","1,718.64","28.28M","0.52%"
"2018년 12월 27일","1,714.23","1,725.39","1,725.91","1,709.61","36.85M","-0.41%"
"2018년 12월 26일","1,721.33","1,718.28","1,729.27","1,710.85","40.26M","-1.07%"
"2018년 12월 25일","1,740.00","1,740.00","1,740.00","1,740.00","-","0.00%"
"2018년 12월 24일","1,740.00","1,731.88","1,743.82","1,727.94","27.46M","-0.11%"
"2018년 12월 23일","1,741.89","1,741.89","1,741.89","1,741.89","-","0.00%"
"2018년 12월 21일","1,741.89","1,729.84","1,741.89","1,726.36","43.20M","0.16%"
"2018년 12월 20일","1,739.15","1,742.25","1,750.90","1,730.32","37.16M","-1.10%"
"2018년 12월 19일","1,758.50","1,747.15","1,759.84","1,743.44","33.68M","0.92%"
"2018년 12월 18일","1,742.53","1,736.05","1,753.12","1,733.67","36.64M","-0.42%"
"2018년 12월 17일","1,749.85","1,743.57","1,756.71","1,740.75","33.09M","0.33%"
"2018년 12월 16일","1,744.10","1,744.10","1,744.10","1,744.10","-","0.00%"
"2018년 12월 14일","1,744.10","1,776.59","1,776.59","1,736.91","47.51M","-1.70%"
"2018년 12월 13일","1,774.29","1,775.57","1,787.57","1,769.19","72.67M","0.16%"
"2018년 12월 12일","1,771.39","1,755.13","1,774.29","1,753.12","40.45M","1.36%"
"2018년 12월 11일","1,747.62","1,755.09","1,755.59","1,742.35","36.23M","-0.22%"
"2018년 12월 10일","1,751.51","1,749.05","1,755.17","1,740.59","39.05M","-1.18%"
"2018년 12월 09일","1,772.38","1,772.38","1,772.38","1,772.38","-","0.00%"
"2018년 12월 07일","1,772.38","1,775.98","1,780.61","1,764.91","31.16M","0.45%"
"2018년 12월 06일","1,764.37","1,782.57","1,782.94","1,761.58","39.80M","-1.66%"
"2018년 12월 05일","1,794.16","1,781.45","1,799.86","1,781.10","31.82M","-0.70%"
"2018년 12월 04일","1,806.77","1,819.85","1,823.11","1,798.73","38.31M","-1.21%"
"2018년 12월 03일","1,828.87","1,825.26","1,835.03","1,812.12","36.04M","1.85%"
"2018년 12월 02일","1,795.70","1,795.70","1,795.70","1,795.70","-","0.00%"
"2018년 11월 30일","1,795.70","1,821.06","1,829.50","1,792.73","55.23M","-1.24%"
"2018년 11월 29일","1,818.27","1,838.81","1,841.86","1,812.92","33.99M","0.23%"
"2018년 11월 28일","1,814.10","1,808.22","1,815.08","1,800.08","32.00M","0.48%"
"2018년 11월 27일","1,805.43","1,795.26","1,807.06","1,785.19","31.45M","0.99%"
"2018년 11월 26일","1,787.72","1,763.28","1,787.90","1,763.28","29.34M","1.27%"
"2018년 11월 25일","1,765.36","1,765.36","1,765.36","1,765.36","-","0.00%"
"2018년 11월 23일","1,765.36","1,776.00","1,778.57","1,754.31","20.65M","-0.51%"
"2018년 11월 22일","1,774.47","1,776.51","1,782.04","1,769.89","26.39M","-0.01%"
"2018년 11월 21일","1,774.68","1,763.17","1,776.44","1,755.27","33.63M","-0.74%"
"2018년 11월 20일","1,787.91","1,781.92","1,795.11","1,780.65","33.22M","-1.24%"
"2018년 11월 19일","1,810.30","1,812.22","1,824.60","1,801.63","27.75M","-0.07%"
"2018년 11월 18일","1,811.51","1,811.51","1,811.51","1,811.51","-","0.00%"
"2018년 11월 16일","1,811.51","1,823.01","1,825.76","1,807.17","27.74M","-0.07%"
"2018년 11월 15일","1,812.77","1,791.34","1,813.82","1,789.51","27.96M","0.77%"
"2018년 11월 14일","1,798.93","1,802.41","1,806.34","1,791.16","32.14M","-0.28%"
"2018년 11월 13일","1,803.97","1,787.83","1,805.01","1,770.82","36.65M","-0.79%"
"2018년 11월 12일","1,818.41","1,797.03","1,822.71","1,797.03","35.85M","0.13%"
"2018년 11월 11일","1,816.00","1,816.00","1,816.00","1,816.00","-","0.00%"
"2018년 11월 09일","1,816.00","1,820.66","1,831.32","1,812.46","34.97M","-0.21%"
"2018년 11월 08일","1,819.78","1,841.74","1,850.72","1,819.45","41.82M","0.37%"
"2018년 11월 07일","1,813.06","1,813.27","1,829.31","1,809.64","35.92M","-0.19%"
"2018년 11월 06일","1,816.47","1,812.55","1,818.48","1,795.31","27.35M","0.49%"
"2018년 11월 05일","1,807.67","1,808.52","1,810.48","1,783.62","34.62M","-0.99%"
"2018년 11월 02일","1,825.69","1,784.82","1,826.33","1,782.08","47.23M","3.60%"
"2018년 11월 01일","1,762.26","1,776.09","1,788.49","1,761.39","40.90M","-0.47%"
"2018년 10월 31일","1,770.64","1,770.12","1,770.64","1,750.19","52.07M","0.54%"
"2018년 10월 30일","1,761.16","1,738.04","1,777.90","1,738.04","53.50M","0.92%"
"2018년 10월 29일","1,745.09","1,756.71","1,771.82","1,742.87","47.65M","-0.66%"
